Protocol,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Packet Length Mean,Packet Length Std,Max Packet Length,Min Packet Length,SYN Flag Count,ACK Flag Count,RST Flag Count,src_ip
6,7293.000000,4,6,304,590,122583.2990538872891814068285,1371.177841766077060194707254,89.4,27.037751385793904,143,72,4,8,0,10.0.0.5
17,3075.000000,9,0,13680,0,4448780.487804878048780487805,2926.829268292682926829268293,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2544.000000,18,0,26928,0,10584905.66037735849056603774,7075.471698113207547169811321,1496.0,0.0,1496,1496,0,0,0,10.0.0.3
17,2119.000000,17,0,25704,0,12130250.11798017932987258141,8022.652194431335535630014158,1512.0,0.0,1512,1512,0,0,0,10.0.0.3
6,862.000000,6,6,2788,432,3735498.839907192575406032483,13921.11368909512761020881671,268.3333333333333,373.61730271614687,1094,72,0,12,0,10.0.0.5
17,3245.000000,18,0,27360,0,8431432.973805855161787365177,5546.995377503852080123266564,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2969.000000,18,0,26928,0,9069720.444594139440889188279,6062.647356012125294712024251,1496.0,0.0,1496,1496,0,0,0,10.0.0.3
17,3115.000000,18,0,27360,0,8783306.581059390048154093098,5778.491171749598715890850722,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2761.000000,18,0,27360,0,9909453.096704092720028975009,6519.377037305324157913799348,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2391.000000,18,0,27360,0,11442910.91593475533249686324,7528.230865746549560853199498,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2636.000000,18,0,27360,0,10379362.67071320182094081942,6828.528072837632776934749621,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2573.000000,18,0,27216,0,10577535.95025262339681305869,6995.724834823163622230858920,1512.0,0.0,1512,1512,0,0,0,10.0.0.3
17,2565.000000,18,0,26928,0,10498245.61403508771929824561,7017.543859649122807017543860,1496.0,0.0,1496,1496,0,0,0,10.0.0.3
17,2563.000000,18,0,27360,0,10674990.24580569644947327351,7023.019898556379243074522044,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2952.000000,18,0,26928,0,9121951.219512195121951219512,6097.560975609756097560975610,1496.0,0.0,1496,1496,0,0,0,10.0.0.3
6,9990.000000,10,12,3092,1022,411811.8118118118118118118118,2202.202202202202202202202202,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
17,3993.000000,18,0,27360,0,6851990.984222389181066867017,4507.888805409466566491359880,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2720.000000,18,0,27360,0,10058823.52941176470588235294,6617.647058823529411764705882,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,3120.000000,18,0,26928,0,8630769.230769230769230769231,5769.230769230769230769230769,1496.0,0.0,1496,1496,0,0,0,10.0.0.3
17,2165.000000,18,0,27360,0,12637413.39491916859122401848,8314.087759815242494226327945,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2456.000000,18,0,27360,0,11140065.14657980456026058632,7328.990228013029315960912052,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,1309.000000,18,0,15534,0,11867074.10236822001527883881,13750.95492742551566080977846,863.0,0.0,863,863,0,0,0,10.0.0.3
17,2387.000000,18,0,27360,0,11462086.30079597821533305404,7540.846250523669878508588186,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2168.000000,18,0,27360,0,12619926.19926199261992619926,8302.583025830258302583025830,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,2192.000000,18,0,27360,0,12481751.82481751824817518248,8211.678832116788321167883212,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
6,4402.000000,10,12,3092,1022,934575.1930940481599273057701,4997.728305315765561108587006,187.0,290.5346169329287,1094,72,4,20,0,10.0.0.5
17,1842.000000,18,0,27360,0,14853420.19543973941368078176,9771.986970684039087947882736,1520.0,0.0,1520,1520,0,0,0,10.0.0.3
17,1482.000000,17,0,15028,0,10140350.87719298245614035088,11470.98515519568151147098516,884.0,0.0,884,884,0,0,0,10.0.0.3
17,779.000000,18,0,5274,0,6770218.228498074454428754814,23106.54685494223363286264442,293.0,0.0,293,293,0,0,0,10.0.0.3
17,1841.000000,18,0,26928,0,14626833.24280282455187398153,9777.294948397609994568169473,1496.0,0.0,1496,1496,0,0,0,10.0.0.3
